product_line_name,num_of_weeks,number_of_devices,num_of_devices
3DSMAX,0,92,19163
3DSMAX,1,148,19163
3DSMAX,2,36,19163
3DSMAX,3,17,19163
3DSMAX,4,6,19163
3DSMAX,5,6,19163
ACAD_E,0,3,6440
ACAD_E,1,14,6440
ACAD_E,2,2,6440
ACAD_E,3,2,6440
ACAD_E,4,1,6440
ACD,0,649,117065
ACD,1,965,117065
ACD,2,292,117065
ACD,3,116,117065
ACD,4,67,117065
ACD,5,35,117065
AMECH_PP,0,95,26426
AMECH_PP,1,137,26426
AMECH_PP,2,27,26426
AMECH_PP,3,21,26426
AMECH_PP,4,4,26426
AMECH_PP,5,6,26426
ARCHDESK,0,93,23258
ARCHDESK,1,155,23258
ARCHDESK,2,52,23258
ARCHDESK,3,29,23258
ARCHDESK,4,9,23258
ARCHDESK,5,6,23258
BLDSYS,0,88,11418
BLDSYS,1,161,11418
BLDSYS,2,39,11418
BLDSYS,3,16,11418
BLDSYS,4,12,11418
BLDSYS,5,7,11418
CIV3D,0,210,32951
CIV3D,1,466,32951
CIV3D,2,161,32951
CIV3D,3,93,32951
CIV3D,4,42,32951
CIV3D,5,44,32951
INVNTOR,0,2,2257
INVNTOR,1,4,2257
INVPROSA,0,170,42168
INVPROSA,1,305,42168
INVPROSA,2,59,42168
INVPROSA,3,25,42168
INVPROSA,4,7,42168
INVPROSA,5,4,42168
MAP,0,16,5268
MAP,1,11,5268
MAP,2,7,5268
MAP,3,1,5268
MAYA,0,50,3988
MAYA,1,125,3988
MAYA,2,40,3988
MAYA,3,22,3988
MAYA,4,15,3988
MAYA,5,10,3988
MAYA,6,3,3988
MAYA,7,1,3988
MAYA,8,3,3988
MAYA,9,1,3988
MAYA,10,1,3988
MAYA,12,1,3988
MAYA,14,3,3988
MAYA,16,1,3988
NAVMAN,0,206,33216
NAVMAN,1,385,33216
NAVMAN,2,73,33216
NAVMAN,3,31,33216
NAVMAN,4,12,33216
NAVMAN,5,3,33216
NAVSIM,0,5,1996
NAVSIM,1,5,1996
NAVSIM,2,1,1996
PLNT3D,0,34,7204
PLNT3D,1,46,7204
PLNT3D,2,13,7204
PLNT3D,3,3,7204
PLNT3D,4,5,7204
PLNT3D,5,1,7204
RECAP,0,10,5869
RECAP,1,7,5869
RSAPRO,0,1,909
RSAPRO,1,5,909
RSAPRO,2,4,909
RVT,0,1909,146785
RVT,1,3470,146785
RVT,2,1077,146785
RVT,3,489,146785
RVT,4,305,146785
RVT,5,83,146785
