dt,num_of_device
2016-07-16,30
2016-07-23,50
2016-07-30,5
2016-08-06,58
2016-08-13,145
2016-08-20,232
2016-08-27,382
2016-09-03,421
2016-09-10,517
2016-09-17,592
2016-09-24,689
2016-10-01,772
2016-10-08,837
2016-10-15,1018
2016-10-22,1232
2016-10-29,1653
2016-11-05,1729
2016-11-12,1649
2016-11-19,1733
2016-11-26,1516
2016-12-03,1654
2016-12-10,1602
2016-12-17,1687
2016-12-24,1588
2016-12-31,913
2017-01-07,1776
2017-01-14,2346
2017-01-21,2313
2017-01-28,2308
2017-02-04,2581
2017-02-11,2734
2017-02-18,2783
2017-02-25,2673
2017-03-04,2729
2017-03-11,3072
2017-03-18,3034
2017-03-25,3509
2017-04-01,2438
2017-04-08,3631
2017-04-15,3716
2017-04-22,3952
2017-04-29,4590
2017-05-06,4296
2017-05-13,4760
2017-05-20,4806
2017-05-27,4746
2017-06-03,4685
2017-06-10,5313
2017-06-17,5402
2017-06-24,5589
2017-07-01,3841
2017-07-08,4230
2017-07-15,7253
2017-07-22,6946
2017-07-29,6811
2017-08-05,8088
2017-08-12,7232
2017-08-19,7553
2017-08-26,8454
2017-09-02,8925
2017-09-09,8634
2017-09-16,9032
2017-09-23,40871
2017-09-30,26135
2017-10-07,16499
2017-10-14,14692
2017-10-21,13832
