product_line_code,product_line_name,total_sessions,rank
AECCOL,RVT,455200,1
AECCOL,ACD,414204,2
AECCOL,CIV3D,154118,3
AECCOL,NAVMAN,77383,4
AECCOL,ARCHDESK,64031,5
AECCOL,BLDSYS,38596,6
AECCOL,3DSMAX,36424,7
AECCOL,PLNT3D,14328,8
AECCOL,MAP,8446,9
AECCOL,RECAP,6977,10
AECCOL,RSAPRO,3852,11
AECCOL,NAVSIM,3593,12
AECCOL,ACAD_E,2951,13
AECCOL,ADSTPR,2828,14
AECCOL,PNID,875,15
AECCOL,UTLDESN,801,16
AECCOL,ACDMAC,180,17
AECCOL,INVPROSA,32,18
AECCOL,ACDLT,24,19
AECCOL,PLC0000026,8,20
AECCOL,CADMEP,5,21
AECCOL,AMECH_PP,3,22
MECOLL,MAYA,21673,1
MECOLL,3DSMAX,10455,2
MECOLL,MOBPRO,706,3
MECOLL,MBXPRO,247,4
MECOLL,RECAP,18,5
MECOLL,ACD,2,6
PDCOLL,INVPROSA,245701,1
PDCOLL,AMECH_PP,106321,2
PDCOLL,ACD,79005,3
PDCOLL,3DSMAX,8764,4
PDCOLL,INVNTOR,7968,5
PDCOLL,ACAD_E,7037,6
PDCOLL,NAVMAN,4843,7
PDCOLL,ARCHDESK,3445,8
PDCOLL,RECAP,847,9
PDCOLL,NAVSIM,153,10
PDCOLL,ACDMAC,38,11
PDCOLL,BLDSYS,35,12
PDCOLL,NINCAD,8,13
PDCOLL,ACDLT,4,14
PDCOLL,ASC,3,15
PDCOLL,RVT,2,16
